"jaar","code","provincie"
2022,"0489","Zuid-Holland"
2022,"0203","Gelderland"
2022,"0888","Limburg"
2022,"1954","Limburg"
2022,"0889","Limburg"
2022,"1945","Gelderland"
2022,"1724","Noord-Brabant"
2022,"0893","Limburg"
2022,"0373","Noord-Holland"
2022,"0748","Noord-Brabant"
2022,"1859","Gelderland"
2022,"1721","Noord-Brabant"
2022,"0753","Noord-Brabant"
2022,"0209","Gelderland"
2022,"0375","Noord-Holland"
2022,"0310","Utrecht"
2022,"1728","Noord-Brabant"
2022,"0376","Noord-Holland"
2022,"0377","Noord-Holland"
2022,"1901","Zuid-Holland"
2022,"0755","Noord-Brabant"
2022,"1681","Drenthe"
2022,"0147","Overijssel"
2022,"0654","Zeeland"
2022,"0757","Noord-Brabant"
2022,"0758","Noord-Brabant"
2022,"0501","Zuid-Holland"
2022,"1876","Gelderland"
2022,"0213","Gelderland"
2022,"0899","Limburg"
2022,"0312","Utrecht"
2022,"0313","Utrecht"
2022,"0214","Gelderland"
2022,"0502","Zuid-Holland"
2022,"0383","Noord-Holland"
2022,"0109","Drenthe"
2022,"1706","Noord-Brabant"
2022,"0216","Gelderland"
2022,"0148","Overijssel"
2022,"1891","Fryslân"
2022,"0503","Zuid-Holland"
2022,"0762","Noord-Brabant"
2022,"0150","Overijssel"
2022,"0384","Noord-Holland"
2022,"1980","Noord-Holland"
2022,"1774","Overijssel"
2022,"0221","Gelderland"
2022,"0222","Gelderland"
2022,"0766","Noord-Brabant"
2022,"0505","Zuid-Holland"
2022,"0498","Noord-Holland"
2022,"1719","Noord-Brabant"
2022,"0303","Flevoland"
2022,"0225","Gelderland"
2022,"0226","Gelderland"
2022,"1711","Limburg"
2022,"0385","Noord-Holland"
2022,"0228","Gelderland"
2022,"0317","Utrecht"
2022,"1979","Groningen"
2022,"0770","Noord-Brabant"
2022,"1903","Limburg"
2022,"0772","Noord-Brabant"
2022,"0230","Gelderland"
2022,"0114","Drenthe"
2022,"0388","Noord-Holland"
2022,"0153","Overijssel"
2022,"0232","Gelderland"
2022,"0233","Gelderland"
2022,"0777","Noord-Brabant"
2022,"1940","Fryslân"
2022,"0779","Noord-Brabant"
2022,"1771","Noord-Brabant"
2022,"1652","Noord-Brabant"
2022,"0907","Limburg"
2022,"0784","Noord-Brabant"
2022,"1924","Zuid-Holland"
2022,"0664","Zeeland"
2022,"0785","Noord-Brabant"
2022,"1942","Noord-Holland"
2022,"0512","Zuid-Holland"
2022,"0513","Zuid-Holland"
2022,"0518","Zuid-Holland"
2022,"0014","Groningen"
2022,"1729","Limburg"
2022,"0158","Overijssel"
2022,"0392","Noord-Holland"
2022,"0394","Noord-Holland"
2022,"1655","Noord-Brabant"
2022,"0160","Overijssel"
2022,"0243","Gelderland"
2022,"0523","Zuid-Holland"
2022,"0072","Fryslân"
2022,"0244","Gelderland"
2022,"0396","Noord-Holland"
2022,"0397","Noord-Holland"
2022,"0246","Gelderland"
2022,"0074","Fryslân"
2022,"0917","Limburg"
2022,"1658","Noord-Brabant"
2022,"0399","Noord-Holland"
2022,"0400","Noord-Holland"
2022,"0163","Overijssel"
2022,"0530","Zuid-Holland"
2022,"0794","Noord-Brabant"
2022,"0531","Zuid-Holland"
2022,"0164","Overijssel"
2022,"0796","Noord-Brabant"
2022,"0252","Gelderland"
2022,"0797","Noord-Brabant"
2022,"0534","Zuid-Holland"
2022,"0798","Noord-Brabant"
2022,"0402","Noord-Holland"
2022,"1963","Zuid-Holland"
2022,"1735","Overijssel"
2022,"1966","Groningen"
2022,"1911","Noord-Holland"
2022,"0118","Drenthe"
2022,"0405","Noord-Holland"
2022,"1507","Limburg"
2022,"0321","Utrecht"
2022,"0406","Noord-Holland"
2022,"0677","Zeeland"
2022,"0353","Utrecht"
2022,"1884","Zuid-Holland"
2022,"0166","Overijssel"
2022,"0678","Zeeland"
2022,"0537","Zuid-Holland"
2022,"0928","Limburg"
2022,"1598","Noord-Holland"
2022,"0542","Zuid-Holland"
2022,"1931","Zuid-Holland"
2022,"1659","Noord-Brabant"
2022,"1982","Noord-Brabant"
2022,"0882","Limburg"
2022,"0415","Noord-Holland"
2022,"1621","Zuid-Holland"
2022,"0417","Noord-Holland"
2022,"0080","Fryslân"
2022,"0546","Zuid-Holland"
2022,"0547","Zuid-Holland"
2022,"1916","Zuid-Holland"
2022,"0995","Flevoland"
2022,"1640","Limburg"
2022,"0327","Utrecht"
2022,"1705","Gelderland"
2022,"0553","Zuid-Holland"
2022,"0262","Gelderland"
2022,"0809","Noord-Brabant"
2022,"0331","Utrecht"
2022,"0168","Overijssel"
2022,"0263","Gelderland"
2022,"1641","Limburg"
2022,"1991","Noord-Brabant"
2022,"0556","Zuid-Holland"
2022,"0935","Limburg"
2022,"0420","Noord-Holland"
2022,"0938","Limburg"
2022,"1948","Noord-Brabant"
2022,"0119","Drenthe"
2022,"0687","Zeeland"
2022,"1842","Zuid-Holland"
2022,"1731","Drenthe"
2022,"1952","Groningen"
2022,"1709","Noord-Brabant"
2022,"1978","Zuid-Holland"
2022,"1955","Gelderland"
2022,"0335","Utrecht"
2022,"0944","Limburg"
2022,"1740","Gelderland"
2022,"0946","Limburg"
2022,"0356","Utrecht"
2022,"0569","Zuid-Holland"
2022,"0267","Gelderland"
2022,"0268","Gelderland"
2022,"1930","Zuid-Holland"
2022,"1970","Fryslân"
2022,"1695","Zeeland"
2022,"1699","Drenthe"
2022,"0171","Flevoland"
2022,"0575","Zuid-Holland"
2022,"0820","Noord-Brabant"
2022,"0302","Gelderland"
2022,"0579","Zuid-Holland"
2022,"0823","Noord-Brabant"
2022,"0824","Noord-Brabant"
2022,"1895","Groningen"
2022,"0269","Gelderland"
2022,"0173","Overijssel"
2022,"1773","Overijssel"
2022,"0175","Overijssel"
2022,"1586","Gelderland"
2022,"0826","Noord-Brabant"
2022,"0085","Fryslân"
2022,"0431","Noord-Holland"
2022,"0432","Noord-Holland"
2022,"0086","Fryslân"
2022,"0828","Noord-Brabant"
2022,"1509","Gelderland"
2022,"0437","Noord-Holland"
2022,"0589","Utrecht"
2022,"1734","Gelderland"
2022,"0590","Zuid-Holland"
2022,"1894","Limburg"
2022,"0765","Groningen"
2022,"1926","Zuid-Holland"
2022,"0439","Noord-Holland"
2022,"0273","Gelderland"
2022,"0177","Overijssel"
2022,"0703","Zeeland"
2022,"0274","Gelderland"
2022,"0339","Utrecht"
2022,"1667","Noord-Brabant"
2022,"0275","Gelderland"
2022,"0340","Utrecht"
2022,"0597","Zuid-Holland"
2022,"1742","Overijssel"
2022,"0603","Zuid-Holland"
2022,"1669","Limburg"
2022,"0957","Limburg"
2022,"0736","Utrecht"
2022,"1674","Noord-Brabant"
2022,"0599","Zuid-Holland"
2022,"0277","Gelderland"
2022,"0840","Noord-Brabant"
2022,"0441","Noord-Holland"
2022,"0279","Gelderland"
2022,"0606","Zuid-Holland"
2022,"0088","Fryslân"
2022,"1676","Zeeland"
2022,"0965","Limburg"
2022,"0845","Noord-Brabant"
2022,"1883","Limburg"
2022,"0610","Zuid-Holland"
2022,"1714","Zeeland"
2022,"0090","Fryslân"
2022,"0342","Utrecht"
2022,"0847","Noord-Brabant"
2022,"0848","Noord-Brabant"
2022,"0037","Groningen"
2022,"0180","Overijssel"
